FileTable,2,03.06.2025 15:07:23.434;
ListID,number,14;ShortName,char,16;
ListID        |ShortName       |
232           |KQ115           |
232           |KQ116           |
232           |KQ117           |
232           |KQ118           |
232           |KQ119           |
232           |KQ120           |
232           |KQ121           |
232           |KQ122           |
232           |KQ123           |
232           |KQ124           |
232           |KQ125           |
232           |KQ126           |
232           |KQ127           |
232           |KQ128           |
232           |KQ129           |
232           |KQ130           |
232           |KQ131           |
232           |KQ132           |
232           |KQ133           |
232           |KQ134           |
232           |KQ135           |
232           |KQ136           |
232           |KQ137           |
232           |KQ138           |
232           |KQ139           |
232           |KQ140           |
232           |KQ141           |
232           |KQ142           |
232           |KQ143           |
232           |KQ144           |
232           |KQ145           |
232           |KQ146           |
232           |KQ147           |
232           |KQ148           |
232           |KQ149           |
232           |KQ150           |
232           |KQ151           |
232           |KQ152           |
232           |KQ153           |
232           |KQ154           |
232           |KQ155           |
232           |KQ156           |
232           |KQ157           |
232           |KQ158           |
232           |KQ159           |
232           |KQ160           |
232           |KQ161           |
232           |KQ162           |
232           |KQ163           |
233           |KV7L0011        |
233           |KV7L0012        |
233           |KV7L0013        |
233           |KV7L0014        |
233           |KV7L0015        |
233           |KV7L0016        |
233           |KV7L0017        |
233           |KV7L0021        |
233           |KV7L0022        |
233           |KV7L0023        |
233           |KV7L0024        |
233           |KV7L0025        |
233           |KV7L0026        |
233           |KV7L0027        |
233           |KV7L0031        |
233           |KV7L0032        |
233           |KV7L0033        |
233           |KV7L0034        |
233           |KV7L0035        |
233           |KV7L0036        |
233           |KV7L0037        |
233           |KV7L0041        |
233           |KV7L0042        |
233           |KV7L0043        |
233           |KV7L0044        |
233           |KV7L0045        |
233           |KV7L0046        |
233           |KV7L0047        |
233           |KV7L0051        |
233           |KV7L0052        |
233           |KV7L0053        |
233           |KV7L0054        |
233           |KV7L0055        |
233           |KV7L0056        |
233           |KV7L0057        |
233           |KV7L0061        |
233           |KV7L0062        |
233           |KV7L0063        |
233           |KV7L0064        |
233           |KV7L0065        |
233           |KV7L0066        |
233           |KV7L0067        |
233           |KV7L0071        |
233           |KV7L0072        |
233           |KV7L0073        |
233           |KV7L0074        |
233           |KV7L0075        |
233           |KV7L0076        |
233           |KV7L0077        |
233           |KV7L0081        |
233           |KV7L0082        |
233           |KV7L0083        |
233           |KV7L0084        |
233           |KV7L0085        |
233           |KV7L0086        |
233           |KV7L0087        |
233           |KV7L0091        |
233           |KV7L0092        |
233           |KV7L0093        |
233           |KV7L0094        |
233           |KV7L0095        |
233           |KV7L0096        |
233           |KV7L0097        |
233           |KV7L0101        |
233           |KV7L0102        |
233           |KV7L0103        |
233           |KV7L0104        |
233           |KV7L0105        |
233           |KV7L0106        |
233           |KV7L0107        |
233           |KV7L0111        |
233           |KV7L0112        |
233           |KV7L0113        |
233           |KV7L0114        |
233           |KV7L0115        |
233           |KV7L0116        |
233           |KV7L0117        |
233           |KV7L0121        |
233           |KV7L0122        |
233           |KV7L0123        |
233           |KV7L0124        |
233           |KV7L0125        |
233           |KV7L0126        |
233           |KV7L0127        |
233           |KV7L0131        |
233           |KV7L0132        |
233           |KV7L0133        |
233           |KV7L0134        |
233           |KV7L0135        |
233           |KV7L0136        |
233           |KV7L0137        |
233           |KV7L0141        |
233           |KV7L0142        |
233           |KV7L0143        |
233           |KV7L0144        |
233           |KV7L0145        |
233           |KV7L0146        |
233           |KV7L0147        |
233           |KV7L0151        |
233           |KV7L0152        |
233           |KV7L0153        |
233           |KV7L0154        |
233           |KV7L0155        |
233           |KV7L0156        |
233           |KV7L0157        |
